Name,RAM,ROM,Sold Quantity,Rating
POCO M4 5G,4,64,79482,4.2
APPLE iPhone 13,0,128,227342,4.7
APPLE iPhone 13,0,128,227342,4.7
APPLE iPhone 13,0,128,227342,4.7
POCO M4 5G,4,64,79482,4.2
vivo T2 5G,8,128,4978,4.4
APPLE iPhone 13,0,128,227342,4.7
SAMSUNG Galaxy F14 5G,6,128,17115,4.2
Infinix Note 12 Pro 5G,8,128,28073,4.1
Infinix Note 12 Pro 5G,8,128,28073,4.1
SAMSUNG Galaxy F23 5G,6,128,195602,4.3
POCO X5 Pro 5G,8,256,8229,4.3
POCO M4 5G,4,64,79482,4.2
realme 10 Pro 5G,8,128,19487,4.3
realme 10 Pro 5G,6,128,26570,4.3
realme GT 2,8,128,10142,4.3
realme GT 2,8,128,10142,4.3
Google Pixel 6a,6,128,47692,4.3
Google Pixel 6a,6,128,47692,4.3
realme 10 Pro 5G,6,128,26570,4.3
realme 10 Pro 5G,8,128,19487,4.3
realme 10 Pro 5G,6,128,26570,4.3
realme 10 Pro 5G,8,128,19487,4.3
SAMSUNG Galaxy F23 5G,6,128,195602,4.3
